Date,Adj Close
12/12/1980,0.405683
12/15/1980,0.384517
12/16/1980,0.356296
12/17/1980,0.365115
12/18/1980,0.375698
12/19/1980,0.398628
12/22/1980,0.41803
12/23/1980,0.435669
12/24/1980,0.458599
12/26/1980,0.500931
12/29/1980,0.507986
12/30/1980,0.495639
12/31/1980,0.481528
1/2/1981,0.48682
1/5/1981,0.476237
1/6/1981,0.455071
1/7/1981,0.435669
1/8/1981,0.426849
1/9/1981,0.449779
1/12/1981,0.446252
1/13/1981,0.430377
1/14/1981,0.432141
1/15/1981,0.44096
1/16/1981,0.437432
1/19/1981,0.46389
1/20/1981,0.449779
1/21/1981,0.458599
1/22/1981,0.46389
1/23/1981,0.462126
1/26/1981,0.455071
1/27/1981,0.451543
1/28/1981,0.437432
1/29/1981,0.421558
1/30/1981,0.398628
2/2/1981,0.375698
2/3/1981,0.389809
2/4/1981,0.40392
2/5/1981,0.40392
2/6/1981,0.405683
2/9/1981,0.384517
2/10/1981,0.384517
2/11/1981,0.37217
2/12/1981,0.368643
2/13/1981,0.359824
2/17/1981,0.368643
2/18/1981,0.384517
2/19/1981,0.361587
2/20/1981,0.342185
2/23/1981,0.347477
2/24/1981,0.33513
2/25/1981,0.356296
2/26/1981,0.361587
2/27/1981,0.373934
3/2/1981,0.375698
3/3/1981,0.370406
3/4/1981,0.366879
3/5/1981,0.365115
3/6/1981,0.361587
3/9/1981,0.333366
3/10/1981,0.317491
3/11/1981,0.305144
3/12/1981,0.317491
3/13/1981,0.313964
3/16/1981,0.326311
3/17/1981,0.342185
3/18/1981,0.363351
3/19/1981,0.359824
3/20/1981,0.363351
3/23/1981,0.377462
3/24/1981,0.375698
3/25/1981,0.368643
3/26/1981,0.361587
3/27/1981,0.34924
3/30/1981,0.34924
3/31/1981,0.345713
4/1/1981,0.342185
4/2/1981,0.37217
4/3/1981,0.373934
4/6/1981,0.366879
4/7/1981,0.363351
4/8/1981,0.38099
4/9/1981,0.388045
4/10/1981,0.393336
4/13/1981,0.393336
4/14/1981,0.393336
4/15/1981,0.373934
4/16/1981,0.352768
4/20/1981,0.363351
4/21/1981,0.388045
4/22/1981,0.402156
4/23/1981,0.412739
4/24/1981,0.409211
4/27/1981,0.405683
4/28/1981,0.398628
4/29/1981,0.393336
4/30/1981,0.400392
5/1/1981,0.400392
5/4/1981,0.398628
5/5/1981,0.396864
5/6/1981,0.386281
5/7/1981,0.391573
5/8/1981,0.3951
5/11/1981,0.386281
5/12/1981,0.386281
5/13/1981,0.384517
5/14/1981,0.379226
5/15/1981,0.388045
5/18/1981,0.3951
5/19/1981,0.388045
5/20/1981,0.400392
5/21/1981,0.423322
5/22/1981,0.442724
5/26/1981,0.44096
5/27/1981,0.465654
5/28/1981,0.465654
5/29/1981,0.467418
6/1/1981,0.467418
6/2/1981,0.444488
6/3/1981,0.444488
6/4/1981,0.453307
6/5/1981,0.446252
6/8/1981,0.430377
6/9/1981,0.439196
6/10/1981,0.444488
6/11/1981,0.46389
6/12/1981,0.458599
6/15/1981,0.456835
6/16/1981,0.448015
6/17/1981,0.44096
6/18/1981,0.439196
6/19/1981,0.426849
6/22/1981,0.410975
6/23/1981,0.41803
6/24/1981,0.407447
6/25/1981,0.416266
6/26/1981,0.410975
6/29/1981,0.396864
6/30/1981,0.366879
7/1/1981,0.363351
7/2/1981,0.363351
7/6/1981,0.351004
7/7/1981,0.354532
7/8/1981,0.368643
7/9/1981,0.340421
7/10/1981,0.313964
7/13/1981,0.321019
7/14/1981,0.33513
7/15/1981,0.343949
7/16/1981,0.352768
7/17/1981,0.365115
7/20/1981,0.340421
7/21/1981,0.338657
7/22/1981,0.319255
7/23/1981,0.328074
7/24/1981,0.338657
7/27/1981,0.352768
7/28/1981,0.340421
7/29/1981,0.33513
7/30/1981,0.347477
7/31/1981,0.352768
8/3/1981,0.34924
8/4/1981,0.354532
8/5/1981,0.365115
8/6/1981,0.356296
8/7/1981,0.356296
8/10/1981,null
8/11/1981,0.345713
8/12/1981,0.338657
8/13/1981,0.328074
8/14/1981,0.322783
8/17/1981,0.3122
8/18/1981,0.305144
8/19/1981,0.301617
8/20/1981,0.305144
8/21/1981,0.283978
8/24/1981,0.26634
8/25/1981,0.273395
8/26/1981,0.268104
8/27/1981,0.269868
8/28/1981,0.283978
8/31/1981,0.283978
9/1/1981,0.301617
9/2/1981,0.306908
9/3/1981,0.291034
9/4/1981,0.287506
9/8/1981,0.278687
9/9/1981,0.278687
9/10/1981,0.280451
9/11/1981,0.276923
9/14/1981,0.268104
9/15/1981,0.261048
9/16/1981,0.255757
9/17/1981,0.248702
9/18/1981,0.250465
9/21/1981,0.252229
9/22/1981,0.238119
9/23/1981,0.232827
9/24/1981,0.231063
9/25/1981,0.201078
9/28/1981,0.202842
9/29/1981,0.213425
9/30/1981,0.215189
10/1/1981,0.215189
10/2/1981,0.232827
10/5/1981,0.239882
10/6/1981,0.238119
10/7/1981,0.252229
10/8/1981,0.261048
10/9/1981,0.262812
10/12/1981,0.271632
10/13/1981,0.271632
10/14/1981,0.255757
10/15/1981,0.261048
10/16/1981,0.257521
10/19/1981,0.262812
10/20/1981,0.276923
10/21/1981,0.276923
10/22/1981,0.275159
10/23/1981,0.268104
10/26/1981,0.268104
10/27/1981,0.273395
10/28/1981,0.282215
10/29/1981,0.278687
10/30/1981,0.282215
11/2/1981,0.282215
11/3/1981,0.278687
11/4/1981,0.271632
11/5/1981,0.252229
11/6/1981,0.253993
11/9/1981,0.257521
11/10/1981,0.259285
11/11/1981,0.26634
11/12/1981,0.275159
11/13/1981,0.255757
11/16/1981,0.252229
11/17/1981,0.257521
11/18/1981,0.26634
11/19/1981,0.26634
11/20/1981,0.268104
11/23/1981,0.255757
11/24/1981,0.253993
11/25/1981,0.259285
11/27/1981,0.26634
11/30/1981,0.262812
12/1/1981,0.262812
12/2/1981,0.264576
12/3/1981,0.261048
12/4/1981,0.268104
12/7/1981,0.269868
12/8/1981,0.264576
12/9/1981,0.26634
12/10/1981,0.26634
12/11/1981,0.264576
12/14/1981,0.255757
12/15/1981,0.262812
12/16/1981,0.275159
12/17/1981,0.298089
12/18/1981,0.322783
12/21/1981,0.308672
12/22/1981,0.313964
12/23/1981,0.306908
12/24/1981,0.308672
12/28/1981,0.294561
12/29/1981,0.299853
12/30/1981,0.3122
12/31/1981,0.3122
1/4/1982,0.310436
1/5/1982,0.294561
1/6/1982,0.291034
1/7/1982,0.268104
1/8/1982,0.280451
1/11/1982,0.262812
1/12/1982,0.253993
1/13/1982,0.252229
1/14/1982,0.264576
1/15/1982,0.282215
1/18/1982,0.287506
1/19/1982,0.280451
1/20/1982,0.285742
1/21/1982,0.291034
1/22/1982,0.292798
1/25/1982,0.283978
1/26/1982,0.273395
1/27/1982,0.275159
1/28/1982,0.283978
1/29/1982,0.287506
2/1/1982,0.283978
2/2/1982,0.285742
2/3/1982,0.285742
2/4/1982,0.278687
2/5/1982,0.278687
2/8/1982,0.261048
2/9/1982,0.261048
2/10/1982,0.264576
2/11/1982,0.261048
2/12/1982,0.264576
2/16/1982,0.259285
2/17/1982,0.262812
2/18/1982,0.26634
2/19/1982,0.264576
2/22/1982,0.261048
2/23/1982,0.257521
2/24/1982,0.259285
2/25/1982,0.257521
2/26/1982,0.257521
3/1/1982,0.259285
3/2/1982,0.259285
3/3/1982,0.259285
3/4/1982,0.253993
3/5/1982,0.234591
3/8/1982,0.231063
3/9/1982,0.232827
3/10/1982,0.229299
3/11/1982,0.229299
3/12/1982,0.215189
3/15/1982,0.213425
3/16/1982,0.209897
3/17/1982,0.199314
3/18/1982,0.215189
3/19/1982,0.234591
3/22/1982,0.252229
3/23/1982,0.248702
3/24/1982,0.234591
3/25/1982,0.232827
3/26/1982,0.229299
3/29/1982,0.234591
3/30/1982,0.238119
3/31/1982,0.238119
4/1/1982,0.250465
4/2/1982,0.250465
4/5/1982,0.250465
4/6/1982,0.248702
4/7/1982,0.245174
4/8/1982,0.246938
4/12/1982,0.245174
4/13/1982,0.225772
4/14/1982,0.227535
4/15/1982,0.231063
4/16/1982,0.238119
4/19/1982,0.232827
4/20/1982,0.222244
4/21/1982,0.22048
4/22/1982,0.216952
4/23/1982,0.216952
4/26/1982,0.222244
4/27/1982,0.215189
4/28/1982,0.206369
4/29/1982,0.206369
4/30/1982,0.208133
5/3/1982,0.215189
5/4/1982,0.222244
5/5/1982,0.218716
5/6/1982,0.225772
5/7/1982,0.229299
5/10/1982,0.225772
5/11/1982,0.218716
5/12/1982,0.213425
5/13/1982,0.215189
5/14/1982,0.206369
5/17/1982,0.202842
5/18/1982,0.199314
5/19/1982,0.19755
5/20/1982,0.199314
5/21/1982,0.201078
5/24/1982,0.202842
5/25/1982,0.202842
5/26/1982,0.201078
5/27/1982,0.19755
5/28/1982,0.19755
6/1/1982,0.194022
6/2/1982,0.19755
6/3/1982,0.190495
6/4/1982,0.185203
6/7/1982,0.185203
6/8/1982,0.183439
6/9/1982,0.179912
6/10/1982,0.181676
6/11/1982,0.188731
6/14/1982,0.188731
6/15/1982,0.188731
6/16/1982,0.188731
6/17/1982,0.185203
6/18/1982,0.181676
6/21/1982,0.181676
6/22/1982,0.188731
6/23/1982,0.194022
6/24/1982,0.194022
6/25/1982,0.186967
6/28/1982,0.185203
6/29/1982,0.179912
6/30/1982,0.179912
7/1/1982,0.178148
7/2/1982,0.169329
7/6/1982,0.162273
7/7/1982,0.162273
7/8/1982,0.155218
7/9/1982,0.16051
7/12/1982,0.164037
7/13/1982,0.17462
7/14/1982,0.176384
7/15/1982,0.179912
7/16/1982,0.186967
7/19/1982,0.188731
